id,category,target
11624739720,сумки,15
11967354953,сумки,4
19026830493,сумки,0
23088722867,сумки,4
23546690270,столы,0
24722362972,одежда для девочек,3
25381739767,одежда для девочек,15
25497098113,одежда для девочек,8
25924248532,одежда для девочек,1
26613532811,одежда для девочек,10
27301166679,сумки,15
27420595624,сумки,11
27539945083,стулья,15
27547419491,сумки,12
27575575070,сумки,7
27578457804,сумки,5
27621558208,сумки,1
27751638538,одежда для девочек,10
27852669465,одежда для девочек,0
28006459392,сумки,3
28213864046,одежда для девочек,11
28296053799,столы,11
28485649176,столы,0
28881402919,сумки,1
28928465348,сумки,11
28981748221,столы,0
29080783813,сумки,1
29097043010,сумки,4
29130121601,столы,7
29142792177,столы,0
29189725745,столы,4
29321720506,столы,7
29328061827,стулья,4
29335051385,сумки,11
29361381289,сумки,10
29364160737,столы,7
29382590009,столы,1
29383559245,одежда для девочек,10
29387092276,столы,1
29390588100,столы,7
29396669751,столы,0
29441749291,столы,13
29444054967,столы,7
29460617877,столы,7
29463672523,столы,4
29472523156,столы,1
29476784858,столы,7
29484851273,столы,7
29488190722,столы,7
29490722361,столы,7
29494904154,столы,7
29494980560,столы,0
29495022087,одежда для девочек,10
29499985645,столы,7
29509783776,одежда для девочек,11
29510434498,стулья,13
29510536374,столы,1
29510652661,столы,7
29512575911,стулья,7
29512585857,стулья,7
29513364599,столы,7
29513367292,столы,7
29523709529,стулья,4
29524252905,стулья,4
29526543415,сумки,5
29529531771,столы,7
29534938471,одежда для девочек,6
29535371435,одежда для девочек,10
29537907856,стулья,11
29538104362,стулья,4
29540968796,столы,13
29542504084,столы,0
29548683079,столы,1
29549083026,стулья,1
29549983685,стулья,10
29553198612,столы,1
29554031438,стулья,13
29554769908,столы,1
29557555022,столы,10
29557562009,столы,10
29557571856,столы,10
29560459439,стулья,7
29562888679,стулья,15
29563231250,столы,1
29565537337,столы,1
29569570432,столы,4
29570246523,стулья,4
29571494075,одежда для девочек,0
29571907132,столы,7
29572521103,стулья,4
29573899049,стулья,1
29574615196,столы,0
29577602926,столы,1
29577824143,столы,7
29577962979,столы,7
29580439731,стулья,0
29580522568,стулья,1
29580653214,столы,7
29581789781,столы,7
29582615249,стулья,4
29584017162,столы,10
29586195158,столы,4
29586970537,столы,4
29587090806,столы,4
29588414578,столы,0
