id,category,target
11624739720,сумки,zelenyi
11967354953,сумки,chernyi
19026830493,сумки,belyi
23088722867,сумки,chernyi
23546690270,столы,belyi
24722362972,одежда для девочек,bordovyi
25381739767,одежда для девочек,zelenyi
25497098113,одежда для девочек,krasnyi
25924248532,одежда для девочек,bezhevyi
26613532811,одежда для девочек,raznocvetnyi
27301166679,сумки,zelenyi
27420595624,сумки,rozovyi
27539945083,стулья,zelenyi
27547419491,сумки,serebristyi
27575575070,сумки,korichnevyi
27578457804,сумки,fioletovyi
27621558208,сумки,bezhevyi
27751638538,одежда для девочек,raznocvetnyi
27852669465,одежда для девочек,belyi
28006459392,сумки,bordovyi
28213864046,одежда для девочек,rozovyi
28296053799,столы,rozovyi
28485649176,столы,belyi
28881402919,сумки,bezhevyi
28928465348,сумки,rozovyi
28981748221,столы,belyi
29080783813,сумки,bezhevyi
29097043010,сумки,chernyi
29130121601,столы,korichnevyi
29142792177,столы,belyi
29189725745,столы,chernyi
29321720506,столы,korichnevyi
29328061827,стулья,chernyi
29335051385,сумки,rozovyi
29361381289,сумки,raznocvetnyi
29364160737,столы,korichnevyi
29382590009,столы,bezhevyi
29383559245,одежда для девочек,raznocvetnyi
29387092276,столы,bezhevyi
29390588100,столы,korichnevyi
29396669751,столы,belyi
29441749291,столы,seryi
29444054967,столы,korichnevyi
29460617877,столы,korichnevyi
29463672523,столы,chernyi
29472523156,столы,bezhevyi
29476784858,столы,korichnevyi
29484851273,столы,korichnevyi
29488190722,столы,korichnevyi
29490722361,столы,korichnevyi
29494904154,столы,korichnevyi
29494980560,столы,belyi
29495022087,одежда для девочек,raznocvetnyi
29499985645,столы,korichnevyi
29509783776,одежда для девочек,rozovyi
29510434498,стулья,seryi
29510536374,столы,bezhevyi
29510652661,столы,korichnevyi
29512575911,стулья,korichnevyi
29512585857,стулья,korichnevyi
29513364599,столы,korichnevyi
29513367292,столы,korichnevyi
29523709529,стулья,chernyi
29524252905,стулья,chernyi
29526543415,сумки,fioletovyi
29529531771,столы,korichnevyi
29534938471,одежда для девочек,goluboi
29535371435,одежда для девочек,raznocvetnyi
29537907856,стулья,rozovyi
29538104362,стулья,chernyi
29540968796,столы,seryi
29542504084,столы,belyi
29548683079,столы,bezhevyi
29549083026,стулья,bezhevyi
29549983685,стулья,raznocvetnyi
29553198612,столы,bezhevyi
29554031438,стулья,seryi
29554769908,столы,bezhevyi
29557555022,столы,raznocvetnyi
29557562009,столы,raznocvetnyi
29557571856,столы,raznocvetnyi
29560459439,стулья,korichnevyi
29562888679,стулья,zelenyi
29563231250,столы,bezhevyi
29565537337,столы,bezhevyi
29569570432,столы,chernyi
29570246523,стулья,chernyi
29571494075,одежда для девочек,belyi
29571907132,столы,korichnevyi
29572521103,стулья,chernyi
29573899049,стулья,bezhevyi
29574615196,столы,belyi
29577602926,столы,bezhevyi
29577824143,столы,korichnevyi
29577962979,столы,korichnevyi
29580439731,стулья,belyi
29580522568,стулья,bezhevyi
29580653214,столы,korichnevyi
29581789781,столы,korichnevyi
29582615249,стулья,chernyi
29584017162,столы,raznocvetnyi
29586195158,столы,chernyi
29586970537,столы,chernyi
29587090806,столы,chernyi
29588414578,столы,belyi
29588534813,столы,korichnevyi
29588818985,столы,belyi
29588834659,столы,korichnevyi
29589251312,столы,belyi
29589512519,столы,belyi
29592037779,столы,belyi
29592561632,столы,bezhevyi
29592796119,столы,belyi
29593072453,стулья,chernyi
29594785896,столы,korichnevyi
29595469046,столы,belyi
29596439238,столы,korichnevyi
29597421792,столы,belyi
29597477070,столы,chernyi
29597540165,столы,bezhevyi
29599148460,столы,korichnevyi
29599196154,столы,chernyi
29600360280,стулья,belyi
29600421238,столы,belyi
29600735701,столы,bezhevyi
29600827840,столы,belyi
29600983883,столы,korichnevyi
29601056856,столы,belyi
29601144112,столы,bezhevyi
29601156200,стулья,belyi
29601838177,столы,korichnevyi
29601869896,столы,bezhevyi
29602392597,стулья,belyi
29602701309,столы,korichnevyi
29602786798,столы,bezhevyi
29602817117,столы,korichnevyi
29602824420,столы,korichnevyi
29602841793,столы,korichnevyi
29602848138,столы,bezhevyi
29602904673,столы,rozovyi
29602993928,стулья,raznocvetnyi
29603005180,стулья,chernyi
29603005387,столы,korichnevyi
29603009703,столы,bezhevyi
29603014012,столы,belyi
29603028318,стулья,korichnevyi
29603031297,столы,korichnevyi
29603054290,столы,chernyi
29603062310,столы,belyi
29603066057,столы,korichnevyi
29603117646,столы,korichnevyi
29603123555,стулья,chernyi
29603124560,столы,korichnevyi
29603137347,стулья,seryi
29603141471,стулья,belyi
29603142141,столы,korichnevyi
29603142753,столы,korichnevyi
29603147514,столы,bezhevyi
29603148217,столы,belyi
29603152098,стулья,chernyi
29603177593,стулья,zelenyi
29603184396,столы,belyi
29603209749,стулья,raznocvetnyi
29603266934,столы,oranzhevyi
29603285215,столы,bezhevyi
29603291747,стулья,belyi
29603297619,столы,belyi
29603323067,столы,bezhevyi
29603339593,столы,bezhevyi
29603377586,столы,bezhevyi
29603422086,стулья,seryi
29603423555,столы,raznocvetnyi
29603469717,столы,bezhevyi
29603591305,столы,oranzhevyi
29603707803,столы,raznocvetnyi
29603821510,стулья,seryi
29603854739,стулья,bezhevyi
