id,category,target
29642819293,столы,0
36486873446,сумки,4
36486606532,сумки,4
36475778587,одежда для девочек,10
36469062106,сумки,4
36459952718,одежда для девочек,7
37598387839,одежда для девочек,6
36467699079,одежда для девочек,4
37599062908,сумки,7
37589305328,одежда для девочек,0
29644357683,столы,0
36464077193,одежда для девочек,14
36469524638,сумки,1
36480637344,сумки,10
37587408472,одежда для девочек,15
36472826415,сумки,5
36462123005,сумки,4
29620375356,стулья,7
36475804246,одежда для девочек,10
36460859509,сумки,13
37589651006,одежда для девочек,10
36482585156,сумки,7
36230589136,сумки,4
36461921161,сумки,7
36480497990,сумки,15
36465066821,сумки,7
29608000940,столы,1
36483698076,сумки,11
37599216396,сумки,13
36474570390,сумки,4
36462176860,одежда для девочек,0
36480725185,одежда для девочек,10
37592160796,одежда для девочек,11
36466906399,сумки,0
36464917010,одежда для девочек,5
29642082176,столы,1
29632596827,стулья,0
36455730019,одежда для девочек,14
36476050914,одежда для девочек,14
37592920343,сумки,10
36475174584,одежда для девочек,8
36463334917,сумки,3
36462541193,сумки,8
36462406386,сумки,8
36471577470,сумки,1
36460507194,одежда для девочек,14
37598653338,сумки,8
36468719890,сумки,7
36479491085,сумки,7
36464663265,одежда для девочек,10
37592236496,сумки,14
36467764342,сумки,7
37590315537,одежда для девочек,10
36480711847,сумки,4
29604683223,стулья,5
36475909130,сумки,14
36476513762,одежда для девочек,10
36459564134,сумки,10
29619917619,стулья,9
36479213789,сумки,0
37595152814,сумки,7
37587256499,одежда для девочек,14
29650810830,столы,0
37591581404,сумки,7
36463432410,сумки,7
29616223332,столы,0
36486754431,сумки,1
29883581929,сумки,0
36460012226,одежда для девочек,6
29635152212,столы,0
29619910385,столы,4
37589877169,одежда для девочек,16
36478625803,одежда для девочек,14
36461879465,сумки,15
36458353367,одежда для девочек,6
29617246499,столы,7
36464302714,сумки,4
29604065617,столы,1
37590314414,одежда для девочек,13
36460172347,одежда для девочек,13
36483684939,сумки,4
36463559078,сумки,14
36469241535,одежда для девочек,14
36460156536,одежда для девочек,0
36456989668,сумки,12
29647031517,столы,0
36485431171,сумки,4
29625672421,столы,0
36485675135,сумки,10
36460123634,сумки,13
36462063909,сумки,15
36464591791,сумки,7
36463572051,сумки,14
37588789475,сумки,4
36483324410,сумки,7
29608237353,столы,1
37599130669,сумки,1
36468369348,одежда для девочек,0
37598077837,одежда для девочек,10
37588065120,сумки,1
36457064045,одежда для девочек,11
36468905659,сумки,4
36478598644,сумки,4
37595684628,сумки,7
37594875173,одежда для девочек,11
36479620771,сумки,7
36462447707,сумки,4
36463855119,одежда для девочек,13
29635413344,столы,7
37598265014,сумки,7
37591219431,сумки,15
